26.09.2016;42639;332;15;1.7
27.09.2016;42640;408;15;1.11
28.09.2016;42641;397;15;1.7
29.09.2016;42642;700;17;3.08
30.09.2016;42643;697;16;3.6
01.10.2016;42644;188;15;2.98
02.10.2016;42645;51;12;3.12
03.10.2016;42646;391;11;2.31
04.10.2016;42647;674;10;4.69
05.10.2016;42648;680;7;6.37
06.10.2016;42649;427;7;6.05
07.10.2016;42650;524;8;3
08.10.2016;42651;100;7;1.52
09.10.2016;42652;120;7;1.28
10.10.2016;42653;97;7;2.27
11.10.2016;42654;300;6;2.41
12.10.2016;42655;643;6;3.07
13.10.2016;42656;0;6;3.67
14.10.2016;42657;96;11;2.66
15.10.2016;42658;214;12;1.45
16.10.2016;42659;258;12;1.15
17.10.2016;42660;0;14;2.47
18.10.2016;42661;80;11;2.99
19.10.2016;42662;7;9;4.18
20.10.2016;42663;348;7;4.13
21.10.2016;42664;206;7;4.3
22.10.2016;42665;118;7;1.2
23.10.2016;42666;40;7;1.1
24.10.2016;42667;463;12;1.06
25.10.2016;42668;0;13;1.3
26.10.2016;42669;41;12;1.04
27.10.2016;42670;301;10;1.43
28.10.2016;42671;369;8;0.64
29.10.2016;42672;430;9;2.13
30.10.2016;42673;367;8;3.93
31.10.2016;42674;357;8;2.76
01.11.2016;42675;398;9;1.48
02.11.2016;42676;11;9;3.98
03.11.2016;42677;353;5;1.78
04.11.2016;42678;367;7;1.57
05.11.2016;42679;25;10;2.77
06.11.2016;42680;72;5;3.69
07.11.2016;42681;219;2;3.91
08.11.2016;42682;2;1;3.91
09.11.2016;42683;0;2;5.69
10.11.2016;42684;111;5;8.78
11.11.2016;42685;34;4;7.17
12.11.2016;42686;344;3;1.86
13.11.2016;42687;0;4;1.65
14.11.2016;42688;347;1;2.19
15.11.2016;42689;17;4;2.31
16.11.2016;42690;0;7;5.03
17.11.2016;42691;42;9;5.36
18.11.2016;42692;0;8;4.67
19.11.2016;42693;157;5;3.79
20.11.2016;42694;332;7;5.78
21.11.2016;42695;1;14;11.57
22.11.2016;42696;167;11;4.35
23.11.2016;42697;0;12;2.21
24.11.2016;42698;91;10;3.02
25.11.2016;42699;77;6;4.62
26.11.2016;42700;156;7;0.74
27.11.2016;42701;109;6;2.98
28.11.2016;42702;517;0;11.49
29.11.2016;42703;520;-1;4.92
30.11.2016;42704;518;2;1.79
01.12.2016;42705;512;4;1.99
02.12.2016;42706;503;2;2.21
03.12.2016;42707;389;1;4.72
04.12.2016;42708;366;0;1.92
05.12.2016;42709;448;1;0.62
06.12.2016;42710;536;3;0.77
07.12.2016;42711;367;1;0.96
08.12.2016;42712;535;6;1.34
09.12.2016;42713;134;6;0.89
10.12.2016;42714;562;6;1.12
11.12.2016;42715;213;5;2.68
12.12.2016;42716;316;2;1.32
13.12.2016;42717;256;2;0.76
14.12.2016;42718;561;3;1
15.12.2016;42719;558;2;0.6
16.12.2016;42720;383;1;1.46
17.12.2016;42721;352;3;0.57
18.12.2016;42722;50;3;0.56
19.12.2016;42723;487;2;4.4
20.12.2016;42724;548;2;3.2
21.12.2016;42725;505;2;0.82
22.12.2016;42726;543;4;1.23
23.12.2016;42727;477;5;1.17
26.12.2016;42730;44;6;3.34
27.12.2016;42731;278;2;1.25
28.12.2016;42732;561;1;1.97
29.12.2016;42733;523;0;4.45
